,word1,word2,similarity
155,energi,laboratorium,0.509
156,computer,laboratorium,0.678
157,våben,hemmelighed,0.606
158,FBI,fingeraftryk,0.6940000000000001
159,FBI,efterforskning,0.8310000000000001
160,efterforskning,anstrengelse,0.45899999999999996
161,Mars,vand,0.294
162,Mars,videnskabsmand,0.563
163,nyheder,rapport,0.8160000000000001
164,kløft,landskab,0.753
165,billede,overflade,0.45599999999999996
166,opdagelse,rum,0.634
167,vand,nedsivning,0.6559999999999999
168,tegn,pause,0.238
169,onsdag,nyheder,0.22200000000000003
170,mil,kilometer,0.866
171,computer,nyheder,0.44699999999999995
172,territorie,overflade,0.534
173,atmosfære,landskab,0.369
174,præsident,medalje,0.3
175,krig,tropper,0.8130000000000001
176,rekord,nummer,0.631
177,skind,øje,0.622
178,japaner,amerikaner,0.65
179,teater,historie,0.391
180,frivillig,motto,0.256
181,fordom,anerkendelse,0.3
182,dekoration,tapperhed,0.563
183,århundrede,år,0.759
184,århundrede,nation,0.316
185,forsinkelse,racisme,0.119
186,forsinkelse,nyheder,0.331
187,minister,parti,0.663
188,fred,plan,0.475
189,mindretal,fred,0.369
190,forsøg,fred,0.425
191,regering,krise,0.6559999999999999
192,implementering,afgang,0.425
193,implementering,udbetaling,0.588
194,energi,krise,0.5940000000000001
195,bekendtgørelse,nyheder,0.756
196,bekendtgørelse,anstrengelse,0.275
197,slagtilfælde,hospital,0.7030000000000001
198,handicap,død,0.5469999999999999
199,offer,nødsituation,0.647
200,behandling,bedring,0.791
201,tidsskrift,forening,0.497
202,læge,personale,0.5
203,læge,ansvar,0.519
204,ansvar,forsikring,0.7030000000000001
205,skole,centrum,0.344
206,årsag,hypertension,0.231
207,årsag,kriterium,0.591
208,hundrede,procent,0.738
209,Harvard,Yale,0.8130000000000001
210,hospital,infrastruktur,0.46299999999999997
211,død,række,0.525
212,død,indsatte,0.503
213,advokat,bevis,0.669
214,liv,død,0.788
215,liv,periode,0.45
216,ord,lighed,0.475
217,bestyrelse,henstilling,0.44699999999999995
218,guvernør,interview,0.325
219,OPEC,land,0.563
220,fred,atmosfære,0.369
221,fred,forsikring,0.294
222,territorie,kilometer,0.528
223,rejse,aktivitet,0.5
224,konkurrence,pris,0.644
225,forbruger,sikkerhed,0.413
226,forbruger,energi,0.475
227,problem,lufthavn,0.238
228,bil,flyrejse,0.49400000000000005
229,kredit,kort,0.806
230,kredit,information,0.5309999999999999
231,hotel,reservation,0.8029999999999999
232,købmand,penge,0.5940000000000001
233,registrering,arrangement,0.6
234,arrangement,indkvartering,0.541
235,måned,hotel,0.181
236,type,venlig,0.897
237,ankomst,hotel,0.6
238,seng,skab,0.6719999999999999
239,skab,tøj,0.8
240,situation,konklussion,0.481
241,situation,isolation,0.388
242,upartiskhed,interesse,0.516
243,retning,kombination,0.225
244,gade,sted,0.644
245,gade,avenue,0.8880000000000001
246,gade,blokering,0.688
247,gade,børn,0.49400000000000005
248,oplistning,nærhed,0.256
249,oplistning,kategori,0.638
250,celle,telefon,0.7809999999999999
251,produktion,vandretur,0.175
252,benchmark,indeks,0.425
253,medie,handel,0.388
254,medie,gevinst,0.288
255,udbytte,betaling,0.763
256,udbytte,beregning,0.648
257,beregning,beregning,0.844
258,valuta,marked,0.75
259,OPEC,olie,0.859
260,olie,aktie,0.634
261,bekendtgørelse,produktion,0.33799999999999997
262,bekendtgørelse,advarsel,0.6
263,fortjeneste,advarsel,0.388
264,fortjeneste,underskud,0.763
265,dollar,yen,0.778
266,dollar,skilling,0.922
267,dollar,fortjeneste,0.738
268,dollar,underskud,0.609
269,computer,software,0.85
270,netværk,hardware,0.8310000000000001
271,telefon,udstyr,0.713
272,udstyr,fabrikant,0.591
273,luksus,bil,0.647
274,fem,måned,0.33799999999999997
275,rapport,gevinst,0.363
276,investor,indtjening,0.713
277,væske,vand,0.7889999999999999
278,baseball,sæson,0.597
279,kamp,sejr,0.7030000000000001
280,kamp,hold,0.769
281,maraton,sprint,0.747
282,kamp,serie,0.619
283,kamp,nederlag,0.697
284,syv,serie,0.356
285,fisk og skaldyr,hav,0.747
286,fisk og skaldyr,mad,0.834
287,fisk og skaldyr,hummer,0.8699999999999999
288,hummer,mad,0.7809999999999999
289,hummer,vin,0.5700000000000001
290,mad,tilberedelse,0.622
291,video,galakse,0.634
292,start,år,0.40599999999999997
293,start,match,0.44699999999999995
294,kamp,runde,0.597
295,boksning,runde,0.761
296,mesterskab,turnering,0.836
297,kæmper,besejre,0.741
298,linje,forsikring,0.269
299,dag,sommer,0.394
300,sommer,tørke,0.716
301,sommer,natur,0.563
302,dag,daggry,0.753
303,natur,miljø,0.8310000000000001
304,miljø,økologi,0.881
305,natur,mand,0.625
306,mand,kvinde,0.8300000000000001
307,mand,guvernør,0.525
308,mord,manddrab,0.853
309,sæbe,opera,0.794
310,opera,opførsel,0.688
311,liv,lektion,0.5940000000000001
312,fokus,liv,0.40599999999999997
313,produktion,mandskab,0.625
314,tv,film,0.772
315,elsker,skænderi,0.619
316,seer,serie,0.29700000000000004
317,mulighed,pige,0.194
318,befolkning,udvikling,0.375
319,moral,betydning,0.331
320,moral,ægteskab,0.369
321,Mexico,Brasilien,0.744
322,køn,lighed,0.641
323,ændring,holdning,0.544
324,familie,planlægning,0.625
325,opera,industri,0.263
326,sukker,tilgang,0.088
327,øvelse,institution,0.319
328,ministerium,kultur,0.46900000000000003
329,problem,udfordring,0.675
330,størrelse,fremtrædende,0.5309999999999999
331,land,borger,0.731
332,planet,folk,0.575
333,udvikling,spørgsmål,0.397
334,oplevelse,musik,0.34700000000000003
335,musik,projekt,0.363
336,glas,metal,0.5559999999999999
337,aluminium,metal,0.783
338,chance,troværdighed,0.388
339,udstille,memorabilia,0.5309999999999999
340,koncert,virtuos,0.6809999999999999
341,rock,jazz,0.759
342,museum,teater,0.7190000000000001
343,observation,arkitektur,0.438
344,rum,verden,0.653
345,bevarelse,verden,0.619
346,adgang,billet,0.769
347,byge,tordenbyge,0.631
348,byge,oversvømmelse,0.603
349,vejr,vejrudsigt,0.834
350,katastrofe,område,0.625
351,guvernør,kontor,0.634
352,arkitektur,århundrede,0.378
353,skandaløs,uanstændig,0.676923076923077
354,radikal,yderlig,0.8153846153846154
355,svær,vanskelig,0.9621621621621622
356,kedelig,interessant,0.0256410256410256
357,kort,lang,0.0344729344729344
358,vigtig,afgørende,0.7846153846153846
359,vred,utålmodig,0.2923076923076923
360,stor,massiv,0.6410256410256411
361,skadelig,harmløs,0.0
362,sen,tidlig,0.0051282051282051
363,smuk,forrygende,0.3384615384615385
364,mærkelig,unormal,0.7641025641025642
365,speciel,særlig,0.9435897435897436
366,dygtig,kompetent,0.917948717948718
367,klog,intelligent,0.9025641025641026
368,traditionel,kulturel,0.2923076923076923
369,speciel,sjælden,0.7384615384615385
370,glad,positiv,0.7487179487179487
371,normal,typisk,0.8256410256410257
372,misbruge,krænke,0.7025641025641026
373,undersøge,kortlægge,0.7897435897435897
374,investere,spare,0.2153846153846153
375,lære,lytte,0.3025641025641026
376,ånde,kvæle,0.041025641025641
377,dræbe,forsvare,0.0871794871794871
378,udvikle,opfinde,0.7282051282051283
379,udtrykke,spørge,0.3025641025641026
380,erstatte,opbevare,0.0051282051282051
381,forstå,vide,0.5384615384615384
382,skabe,udnytte,0.0871794871794871
383,vokse,udvide,0.7076923076923077
384,udrette,opnå,0.8051282051282052
385,køre,gå,0.2615384615384615
386,anbringe,bevæge,0.0923076923076923
387,glemme,ignorere,0.2923076923076923
388,begynde,afslutte,0.0461538461538461
389,overbevise,forklare,0.4717948717948718
390,analysere,sammenligne,0.4974358974358974
391,ødelægge,genopbygge,0.0461538461538461
392,afskære,hindre,0.7025641025641026
393,argumentere,bevise,0.6564102564102563
394,forsvinde,opstå,0.0256410256410256
395,vælge,overveje,0.3564795564795565
396,eksplodere,buldre,0.3128205128205127
397,sky,vejr,0.2307692307692307
398,depression,diagnose,0.2615384615384615
399,glæde,stolthed,0.4565488565488566
400,pistol,chok,0.0153846153846153
401,stol,møbel,0.3948717948717949
402,tid,minut,0.3743589743589743
403,befrugtning,adoption,0.1333333333333333
404,rytme,melodi,0.4102564102564102
405,tortur,smerte,0.4461538461538462
406,vand,salt,0.0769230769230769
407,formand,direktør,0.6153846153846154
408,morgen,dagslys,0.3794871794871795
409,parti,medlem,0.1999999999999999
410,gulv,loft,0.1076923076923077
411,ideologi,religion,0.4871794871794871
412,diplomat,filosof,0.041025641025641
413,tennis,badminton,0.3354123354123354
414,svovl,kemi,0.2461538461538461
415,bil,sæde,0.1999999999999999
416,rollemodel,forbillede,1.0
417,klaver,guitar,0.3333333333333333
418,penge,løn,0.4666666666666667
419,situation,omstændighed,0.8358974358974359
420,kærlighed,venskab,0.5618849618849618
421,pris,million,0.1743589743589743
422,solskin,sommer,0.3692307692307692
423,liste,optegnelse,0.8205128205128205
424,mål,resultat,0.6410256410256411
425,kontrakt,aftale,0.8717948717948718
426,infektion,sygdom,0.6153846153846154
427,intelligens,logik,0.4153846153846154
428,problem,dilemma,0.7076923076923077
429,taktik,fremgangsmåde,0.7692307692307693
430,opsigelse,afslag,0.2615384615384615
431,land,by,0.1589743589743589
432,ris,bønne,0.2205128205128205
433,politi,kommission,0.0769230769230769
434,spil,strategi,0.3025641025641026
435,vogn,lastbil,0.4615384615384615
436,hus,lejlighed,0.4102564102564102
437,sjov,fodbold,0.0615384615384615
438,kommunisme,revolution,0.1897435897435897
439,forretning,iværksætter,0.2512820512820512
440,bi,insekt,0.3435897435897436
441,mulighed,begrænsning,0.1025641025641025
442,sprog,kommunikation,0.5282051282051282
443,kvinde,dronning,0.2769230769230769
444,kaffe,kop,0.1999999999999999
445,hund,kat,0.2153846153846153
446,bog,historie,0.317948717948718
447,formodning,antagelse,0.964102564102564
448,godkendelse,bevilling,0.7538461538461538
449,politik,demokrati,0.4102564102564102
450,dyr,menneske,0.2871794871794872
451,forbrænding,skade,0.3435897435897436
